iter	Passed	Remaining
0	156	109587
1	162	56883
2	168	39260
3	175	30533
4	183	25452
5	190	22036
6	198	19648
7	205	17806
8	213	16403
9	226	15603
10	234	14714
11	242	13897
12	248	13121
13	254	12485
14	260	11897
15	265	11369
16	270	10855
17	277	10497
18	282	10133
19	290	9861
20	295	9570
21	302	9308
22	307	9062
23	313	8825
24	320	8654
25	326	8458
26	331	8270
27	338	8120
28	343	7956
29	350	7829
30	356	7687
31	361	7550
32	369	7461
33	374	7341
34	381	7243
35	387	7140
36	392	7033
37	399	6953
38	404	6857
39	409	6764
40	416	6693
41	422	6621
42	429	6560
43	471	7022
44	482	7022
45	492	6997
46	499	6942
47	506	6874
48	512	6809
49	519	6759
50	525	6688
51	532	6629
52	537	6560
53	543	6501
54	549	6441
55	554	6378
56	561	6329
57	566	6270
58	571	6213
59	579	6177
60	585	6128
61	590	6076
62	596	6032
63	601	5982
64	608	5940
65	614	5899
66	619	5857
67	626	5821
68	634	5800
69	644	5804
70	651	5768
71	658	5740
72	664	5705
73	669	5666
74	676	5637
75	682	5603
76	688	5571
77	694	5537
78	700	5503
79	707	5480
80	713	5449
81	718	5414
82	725	5393
83	731	5362
84	737	5336
85	744	5316
86	750	5288
87	758	5276
88	764	5246
89	771	5227
90	776	5199
91	782	5172
92	789	5151
93	794	5123
94	802	5112
95	808	5087
96	814	5061
97	820	5042
98	826	5019
99	832	4997
100	838	4974
101	844	4952
102	850	4931
103	856	4908
104	862	4886
105	869	4870
106	875	4850
107	882	4836
108	888	4819
109	894	4798
110	902	4789
111	908	4768
112	915	4756
113	921	4735
114	927	4715
115	934	4703
116	940	4686
117	947	4670
118	953	4654
119	959	4638
120	967	4627
121	972	4608
122	978	4591
123	985	4577
124	990	4557
125	997	4545
126	1003	4527
127	1009	4509
128	1016	4499
129	1022	4482
130	1029	4472
131	1035	4454
132	1040	4437
133	1048	4426
134	1053	4408
135	1059	4393
136	1065	4378
137	1071	4362
138	1077	4349
139	1083	4333
140	1089	4318
141	1096	4308
142	1102	4292
143	1108	4279
144	1114	4265
145	1120	4250
146	1126	4239
147	1132	4223
148	1138	4209
149	1144	4197
150	1150	4182
151	1156	4170
152	1162	4156
153	1168	4142
154	1176	4136
155	1182	4122
156	1187	4108
157	1195	4099
158	1200	4086
159	1208	4077
160	1213	4063
161	1219	4049
162	1225	4038
163	1232	4026
164	1238	4015
165	1244	4002
166	1250	3989
167	1256	3978
168	1261	3964
169	1267	3952
170	1273	3940
171	1279	3927
172	1286	3918
173	1292	3906
174	1297	3893
175	1304	3883
176	1310	3871
177	1316	3860
178	1322	3850
179	1328	3838
180	1335	3829
181	1341	3816
182	1346	3805
183	1353	3796
184	1359	3784
185	1365	3773
186	1371	3762
187	1376	3749
188	1385	3744
189	1390	3733
190	1396	3721
191	1404	3715
192	1409	3703
193	1420	3705
194	1428	3699
195	1436	3694
196	1442	3683
197	1451	3679
198	1458	3672
199	1466	3666
200	1472	3655
201	1479	3647
202	1486	3639
203	1492	3628
204	1499	3620
205	1505	3609
206	1511	3598
207	1517	3588
208	1522	3577
209	1529	3569
210	1535	3558
211	1541	3547
212	1547	3538
213	1553	3529
214	1561	3521
215	1566	3510
216	1572	3499
217	1578	3490
218	1584	3480
