food_id,platform,restaurant_name,restaurant_id,food_item,category,food_price,delivery_fee,packaging_fee,tax_amount,final_price,delivery_time_min,restaurant_rating,review_count,available_coupon,coupon_discount,cashback,free_delivery,demand_level,time_slot,day_of_week,festival_indicator,timestamp
FOOD000001,Zomato,Shah Ghouse,RES0003,Chicken Dum Biryani,Biryani,303.77,0.0,15.33,15.19,303.77,22,3.8,830,1,86.13,0.0,Yes,Low,Breakfast,Friday,0,2026-02-27 09:45:55
FOOD000002,Zomato,Pista House,RES0006,Egg Biryani,Biryani,184.26,28.05,17.46,14.26,244.03,27,3.9,9888,0,0.0,0.0,No,Medium,Dinner,Thursday,0,2026-04-09 03:54:07
FOOD000003,Swiggy,Wow Momo,RES0045,Paneer Momos,Momos,110.01,30.47,14.01,10.99,139.64,33,3.9,9910,1,25.84,0.0,No,Medium,Dinner,Wednesday,0,2026-06-17 21:38:08
FOOD000004,Zomato,Subway,RES0048,Bombay Sandwich,Sandwich,114.31,27.22,13.12,10.62,165.27,29,4.3,8091,0,0.0,0.0,No,Medium,Dinner,Wednesday,0,2026-04-22 22:09:30
FOOD000005,Swiggy,Labbaik Sweets,RES0033,Double Ka Meetha,Desserts,104.2,31.39,20.04,10.86,166.49,23,4.2,7386,0,0.0,0.0,No,Medium,Dinner,Wednesday,0,2026-06-10 19:55:58
FOOD000006,Swiggy,Cream Stone,RES0036,Gulab Jamun (4 pc),Desserts,211.68,0.0,31.98,10.58,254.24,40,4.1,845,0,0.0,0.0,Yes,Medium,Dinner,Monday,0,2026-05-25 19:05:11
FOOD000007,Swiggy,Green Bowl,RES0052,Sprouts Salad,Salads,101.77,20.49,24.64,8.78,155.68,26,4.1,11334,0,0.0,0.0,No,Medium,Lunch,Wednesday,0,2026-02-04 12:42:14
FOOD000008,Zomato,Paradise Biryani,RES0001,Chicken Dum Biryani,Biryani,227.41,28.36,26.32,16.48,227.41,31,4.0,8286,1,74.26,0.0,No,Medium,Dinner,Sunday,0,2026-02-08 20:28:57
FOOD000009,Zomato,Chaayos,RES0037,Iced Tea,Beverages,112.23,17.45,17.96,8.75,156.39,32,4.2,2872,0,0.0,0.0,No,Medium,Dinner,Wednesday,0,2026-02-18 19:03:37
FOOD000010,Swiggy,Chicago Pizza,RES0011,Chicken Supreme Pizza,Pizza,506.64,16.96,16.53,28.38,506.64,23,4.3,6186,1,99.49,0.0,No,Low,Breakfast,Saturday,0,2026-05-30 07:35:22
FOOD000011,Zomato,Chai Point,RES0039,Masala Chai,Beverages,71.44,0.0,27.06,3.57,102.07,29,4.1,6971,0,0.0,0.0,Yes,Low,Breakfast,Wednesday,0,2026-02-25 08:38:04
FOOD000012,Swiggy,McDonald's,RES0013,Cheese Burger,Burger,167.17,35.5,11.35,14.75,228.77,40,3.5,4220,0,0.0,0.0,No,Medium,Dinner,Tuesday,0,2026-06-30 19:20:22
FOOD000013,Zomato,Chicago Pizza,RES0011,Margherita Pizza,Pizza,262.92,23.23,16.84,17.33,320.32,26,4.3,6139,0,0.0,0.0,No,Medium,Dinner,Friday,0,2026-07-03 20:36:23
FOOD000014,Swiggy,Bawarchi,RES0002,Egg Biryani,Biryani,229.44,32.67,18.98,17.35,262.96,32,4.0,10806,1,35.48,0.0,No,Medium,Dinner,Wednesday,0,2026-07-01 22:21:23
FOOD000015,Swiggy,La Pino'z Pizza,RES0009,Margherita Pizza,Pizza,196.07,25.82,27.83,14.45,220.13,32,4.2,11852,1,44.04,0.0,No,Medium,Dinner,Thursday,0,2026-03-12 20:08:04
FOOD000016,Swiggy,La Pino'z Pizza,RES0009,Chicken Supreme Pizza,Pizza,365.47,40.18,20.66,25.51,451.82,37,4.1,11932,0,0.0,0.0,No,High,Dinner,Wednesday,1,2026-03-04 21:36:29
FOOD000017,Swiggy,Starbucks,RES0040,Fresh Lime Soda,Beverages,169.74,0.0,20.86,8.49,169.74,28,4.5,11727,1,36.3,0.0,Yes,Low,Breakfast,Tuesday,0,2026-07-21 10:40:58
FOOD000018,Swiggy,Wow China,RES0018,Veg Fried Rice,Chinese,200.52,38.5,15.01,16.96,200.52,43,3.4,6281,1,79.24,0.0,No,High,Dinner,Saturday,0,2026-07-04 19:58:44
FOOD000019,Swiggy,Paradise Biryani,RES0001,Egg Biryani,Biryani,216.8,0.0,22.31,10.84,218.1,33,4.0,8260,1,31.85,0.0,Yes,Medium,Dinner,Thursday,0,2026-05-28 22:13:26
FOOD000020,Zomato,Chutneys,RES0022,Pesarattu,South Indian,125.93,23.23,17.34,10.48,128.61,34,4.1,3075,1,48.37,0.0,No,Medium,Dinner,Wednesday,0,2026-05-06 20:57:05
FOOD000021,Zomato,Dragon Wok,RES0020,Chilli Chicken,Chinese,289.86,28.08,21.15,19.55,358.64,37,4.0,7564,0,0.0,0.0,No,Medium,Lunch,Saturday,0,2026-06-27 14:49:37
FOOD000022,Swiggy,Third Wave Coffee,RES0038,Masala Chai,Beverages,55.11,32.25,14.88,8.56,94.8,26,4.2,1903,1,16.0,0.0,No,Medium,Lunch,Tuesday,0,2026-06-23 14:45:42
FOOD000023,Swiggy,Wow China,RES0018,Chicken Manchurian,Chinese,304.97,0.0,21.53,15.25,341.75,36,3.2,6216,0,0.0,0.0,Yes,Medium,Dinner,Sunday,0,2026-05-17 22:16:53
FOOD000024,Swiggy,Baskin Robbins,RES0035,Gulab Jamun (4 pc),Desserts,72.08,23.98,22.26,7.92,97.17,32,4.4,1411,1,29.07,0.0,No,Medium,Dinner,Monday,0,2026-04-27 20:40:27
FOOD000025,Swiggy,Alpha Hotel,RES0005,Prawn Biryani,Biryani,306.26,0.0,20.79,15.31,342.36,33,4.1,6059,0,0.0,0.0,Yes,Medium,Lunch,Tuesday,0,2026-04-28 16:53:37
FOOD000026,Zomato,Rolls Kingdom,RES0043,Paneer Roll,Rolls,142.27,22.84,19.69,11.22,174.39,41,4.1,6795,1,21.63,0.0,No,Medium,Dinner,Thursday,0,2026-04-30 22:16:39
FOOD000027,Swiggy,La Pino'z Pizza,RES0009,Margherita Pizza,Pizza,189.45,27.02,19.41,14.34,250.22,34,4.1,11934,0,0.0,0.0,No,Medium,Lunch,Monday,0,2026-03-02 14:50:00
FOOD000028,Zomato,Shah Ghouse,RES0003,Prawn Biryani,Biryani,278.3,34.74,22.0,20.17,355.21,51,3.9,796,0,0.0,0.0,No,Medium,Dinner,Wednesday,0,2026-05-20 20:56:12
FOOD000029,Zomato,Karachi Bakery,RES0032,Gulab Jamun (4 pc),Desserts,111.09,0.0,11.43,5.55,111.09,32,4.3,1202,1,22.85,0.0,Yes,Medium,Dinner,Monday,0,2026-05-04 02:23:43
FOOD000030,Swiggy,Alpha Hotel,RES0005,Chicken Dum Biryani,Biryani,291.93,42.97,17.72,22.33,374.95,48,4.2,6072,0,0.0,23.06,No,High,Dinner,Tuesday,1,2026-04-14 00:05:47
FOOD000031,Zomato,Sandwich Zone,RES0049,Club Sandwich,Sandwich,186.23,0.0,23.45,9.31,218.99,27,3.4,1212,0,0.0,0.0,Yes,Medium,Lunch,Monday,0,2026-02-16 12:44:45
FOOD000032,Swiggy,Sandwich Zone,RES0049,Cheese Sandwich,Sandwich,108.79,24.46,11.12,9.84,136.01,28,3.5,1262,1,18.2,0.0,No,Medium,Dinner,Thursday,0,2026-02-05 22:33:42
FOOD000033,Swiggy,Beijing Bites,RES0021,Veg Fried Rice,Chinese,210.78,0.0,23.79,10.54,245.11,44,3.5,4633,0,0.0,23.26,Yes,High,Dinner,Sunday,0,2026-03-22 17:33:30
FOOD000034,Swiggy,Starbucks,RES0040,Iced Tea,Beverages,111.71,0.0,14.66,5.59,131.96,27,4.7,11766,0,0.0,0.0,Yes,Medium,Dinner,Friday,0,2026-03-20 21:25:28
FOOD000035,Zomato,Minerva Coffee Shop,RES0024,Masala Dosa,South Indian,100.79,27.38,21.88,9.97,160.02,34,4.6,8317,0,0.0,0.0,No,Medium,Dinner,Wednesday,0,2026-06-17 18:04:48
FOOD000036,Zomato,Labbaik Sweets,RES0033,Osmania Biscuit (250g),Desserts,97.47,11.95,15.01,7.02,131.45,20,3.9,7410,0,0.0,10.99,No,Low,Breakfast,Wednesday,0,2026-05-13 07:49:49
FOOD000037,Zomato,Irani Chai Adda,RES0041,Cappuccino,Beverages,243.26,15.28,19.51,14.91,292.96,22,3.9,5478,0,0.0,0.0,No,Low,Breakfast,Tuesday,0,2026-04-21 08:52:21
FOOD000038,Swiggy,Burger King,RES0012,Chicken Zinger Burger,Burger,187.68,0.0,19.62,9.38,216.68,22,3.8,11934,0,0.0,0.0,Yes,Low,Breakfast,Tuesday,0,2026-02-10 09:56:07
FOOD000039,Swiggy,Green Bowl,RES0052,Sprouts Salad,Salads,283.56,26.05,31.63,18.87,317.74,29,4.1,11335,1,42.37,0.0,No,Medium,Dinner,Sunday,0,2026-03-29 20:29:15
FOOD000040,Zomato,Sandwich Zone,RES0049,Chicken Sandwich,Sandwich,195.96,31.88,20.77,15.54,264.15,37,3.3,1249,0,0.0,0.0,No,High,Dinner,Friday,1,2026-07-17 18:52:04
FOOD000041,Swiggy,Starbucks,RES0040,Masala Chai,Beverages,51.48,25.47,16.27,7.16,100.38,39,4.5,11748,0,0.0,0.0,No,Medium,Lunch,Wednesday,0,2026-07-22 13:24:56
FOOD000042,Swiggy,Punjabi Rasoi,RES0027,Paneer Butter Masala,North Indian,289.08,31.42,15.97,20.11,356.58,37,4.1,6500,0,0.0,0.0,No,Medium,Lunch,Monday,0,2026-03-23 12:31:45
FOOD000043,Swiggy,Deli 9 Bistro,RES0030,Veg Thali,North Indian,192.26,20.54,29.39,13.31,205.76,25,4.1,10176,1,49.74,0.0,No,Low,Breakfast,Monday,0,2026-05-18 08:13:42
FOOD000044,Swiggy,Wow Momo,RES0045,Fried Chicken Momos,Momos,134.71,35.03,10.56,13.04,193.34,47,4.1,9931,0,0.0,0.0,No,High,Lunch,Saturday,0,2026-02-07 16:08:04
FOOD000045,Swiggy,Cream Stone,RES0036,Ice Cream Tub,Desserts,165.07,0.0,12.86,8.25,186.18,31,4.0,900,0,0.0,0.0,Yes,Low,Breakfast,Friday,0,2026-02-06 09:59:01
FOOD000046,Zomato,Sandwich Zone,RES0049,Cheese Sandwich,Sandwich,125.84,0.0,16.48,6.29,148.61,27,3.4,1222,0,0.0,0.0,Yes,Medium,Dinner,Friday,0,2026-03-20 17:43:57
FOOD000047,Zomato,Salad Days,RES0053,Sprouts Salad,Salads,121.11,22.78,22.72,10.16,176.77,36,4.0,3439,0,0.0,0.0,No,Medium,Dinner,Sunday,0,2026-07-05 22:50:14
FOOD000048,Zomato,Chai Point,RES0039,Cold Coffee,Beverages,145.01,29.16,13.9,12.5,200.57,29,4.0,6959,0,0.0,0.0,No,Medium,Dinner,Wednesday,0,2026-02-18 05:23:59
FOOD000049,Swiggy,Mainland China,RES0017,Hakka Noodles,Chinese,247.51,28.3,11.22,17.47,304.5,29,4.2,1869,0,0.0,0.0,No,Medium,Dinner,Monday,0,2026-06-29 01:25:41
FOOD000050,Swiggy,Chai Point,RES0039,Fresh Lime Soda,Beverages,102.98,40.14,24.49,12.37,133.62,48,4.1,6960,1,46.36,0.0,No,High,Dinner,Wednesday,1,2026-03-04 22:14:57
FOOD000051,Zomato,Minerva Coffee Shop,RES0024,Filter Coffee,South Indian,112.24,17.92,29.75,8.84,168.75,27,4.5,8334,0,0.0,0.0,No,Low,Breakfast,Sunday,0,2026-05-24 07:34:40
FOOD000052,Swiggy,The Sandwich Co,RES0050,Grilled Veg Sandwich,Sandwich,97.72,27.34,17.11,9.81,126.48,37,4.0,8008,1,25.5,0.0,No,Medium,Dinner,Tuesday,0,2026-02-24 20:54:55
FOOD000053,Zomato,Labbaik Sweets,RES0033,Ice Cream Tub,Desserts,164.15,0.0,21.2,8.21,171.2,35,4.0,7419,1,22.36,0.0,Yes,High,Lunch,Sunday,0,2026-07-12 13:45:30
FOOD000054,Zomato,Rayalaseema Ruchulu,RES0025,Masala Dosa,South Indian,97.93,24.04,15.01,9.22,146.2,41,3.6,5971,0,0.0,0.0,No,Medium,Dinner,Friday,0,2026-02-20 21:31:48
FOOD000055,Swiggy,Wrap Street,RES0044,Paneer Roll,Rolls,140.04,35.97,22.2,13.48,211.69,59,3.9,5326,0,0.0,0.0,No,High,Lunch,Saturday,0,2026-04-18 14:53:46
FOOD000056,Swiggy,Mainland China,RES0017,Veg Fried Rice,Chinese,183.91,32.79,22.53,15.1,254.33,30,4.1,1851,0,0.0,18.03,No,Medium,Dinner,Friday,0,2026-07-31 18:25:04
FOOD000057,Swiggy,Faasos,RES0016,Paneer Tikka Burger,Burger,116.45,23.81,17.06,10.11,167.43,42,4.4,7361,0,0.0,0.0,No,Medium,Lunch,Saturday,0,2026-05-30 12:15:46
