iter	RMSE
0	261.0075817
1	254.5294836
2	248.2850464
3	242.8858437
4	236.9243562
5	231.2522831
6	225.614779
7	220.1078744
8	214.880919
9	209.7289307
10	204.927119
11	200.4311589
12	195.7375671
13	191.2862545
14	187.1154602
15	182.6975125
16	178.6835738
17	174.5234777
18	170.6106982
19	166.8559397
20	163.4302299
21	159.8022644
22	156.2177329
23	152.7891113
24	149.4336658
25	146.2188302
26	142.973022
27	140.0742707
28	137.0834637
29	134.2218312
30	131.3099353
31	128.6256651
32	126.0187865
33	123.4538733
34	121.0581342
35	118.5414562
36	116.1771065
37	113.8622927
38	111.5886477
39	109.2985836
40	107.2872384
41	105.1466589
42	103.0753435
43	101.0431861
44	99.15795798
45	97.31086702
46	95.48141537
47	93.80825046
48	91.94945639
49	90.27170743
50	88.58330738
51	86.95969413
52	85.42722785
53	83.90390697
54	82.32483017
55	80.92422125
56	79.53187612
57	78.07721454
58	76.72913331
59	75.49885801
60	74.24847713
61	72.99555886
62	71.79879081
63	70.6949796
64	69.55450315
65	68.44227461
66	67.40542729
67	66.39580196
68	65.44873906
69	64.56396768
70	63.59975715
71	62.68005339
72	61.74387937
73	60.93809327
74	60.05796693
75	59.20172285
76	58.40822595
77	57.71451083
78	56.97280139
79	56.22885237
80	55.50796599
81	54.78334762
82	54.16293782
83	53.44133132
84	52.83386525
85	52.28824561
86	51.67905442
87	51.09229403
88	50.56647873
89	50.07943493
90	49.52126856
91	48.96618308
92	48.53876471
93	48.1074243
94	47.66435032
95	47.19008231
96	46.71486779
97	46.23941395
98	45.82354681
99	45.3571162
100	44.95950564
101	44.59378059
102	44.13706475
103	43.75266083
104	43.37430976
105	42.96421104
106	42.61917079
107	42.26162245
108	41.88195601
109	41.53127646
110	41.20056425
111	40.9001639
112	40.603437
113	40.28139911
114	39.96829532
115	39.64167978
116	39.27797119
117	39.01062722
118	38.75506051
119	38.52074066
120	38.21850963
121	37.93525371
122	37.68471788
123	37.4645242
124	37.17074925
125	36.98087337
126	36.67662522
127	36.48974787
128	36.25197449
129	36.05397659
130	35.85833704
131	35.70063585
132	35.49026233
133	35.26873647
134	35.06197234
135	34.87626229
136	34.68691798
137	34.50905154
138	34.36838869
139	34.13434806
140	33.93098671
141	33.75770413
142	33.58935212
143	33.45609947
144	33.25358164
145	33.11808723
146	32.8938365
147	32.77493521
148	32.63632369
149	32.52245141
150	32.37576782
151	32.23467023
152	32.11147961
153	31.94878439
154	31.8326127
155	31.66206403
156	31.4917763
157	31.35814997
158	31.24877989
159	31.06656914
160	30.92970772
161	30.77110112
162	30.64226309
163	30.55004335
164	30.39453619
165	30.29870193
166	30.21133997
167	30.11057235
168	30.02736643
169	29.93875839
170	29.85828385
171	29.77080941
172	29.68236669
173	29.62134847
174	29.53691674
175	29.46231549
176	29.37141636
177	29.28579061
178	29.20727362
179	29.13829688
180	29.07923049
181	29.01417409
182	28.9093175
183	28.84316791
184	28.78297234
185	28.72704329
186	28.67016256
187	28.62388081
188	28.52118373
189	28.46670608
190	28.38588498
191	28.32530746
192	28.27942612
193	28.22374632
194	28.1896338
195	28.12584897
196	28.07910862
197	28.01477661
198	27.90452078
199	27.84804898
200	27.80443404
201	27.74649142
202	27.70276953
203	27.59062051
204	27.48580618
205	27.43139374
206	27.37345736
207	27.32133722
208	27.26684394
209	27.18917604
210	27.15022997
211	27.10949821
212	27.0701858
213	27.02311297
214	26.99285381
215	26.95374321
216	26.9173604
217	26.87924361
218	26.85156173
219	26.80480788
220	26.76625628
221	26.72555411
222	26.69329558
223	26.65788738
224	26.58295495
225	26.51921545
226	26.48900999
227	26.42481787
228	26.40078336
229	26.32628084
230	26.289389
231	26.26134071
232	26.2389891
233	26.19331387
234	26.1015502
235	26.04460722
236	26.0050953
237	25.97051906
238	25.94344187
239	25.91987436
240	25.88031713
241	25.8480343
242	25.76401874
243	25.73281289
244	25.68277964
245	25.66435911
246	25.60823961
247	25.57106431
248	25.51047707
249	25.48920809
250	25.46783493
251	25.40275252
252	25.36838615
253	25.33833606
254	25.30129936
255	25.23122522
256	25.18385296
257	25.1398654
258	25.10428942
259	25.03843628
260	24.97558094
261	24.91754684
262	24.86330343
263	24.8177107
264	24.77538584
265	24.74868511
266	24.72113196
267	24.68324908
268	24.66580033
269	24.63250724
270	24.58967218
271	24.54386656
272	24.51348301
273	24.49159101
274	24.46707618
275	24.4490796
276	24.39990513
277	24.36315002
278	24.31684455
279	24.29278434
280	24.26904408
281	24.24029216
282	24.2003098
283	24.16297948
284	24.14055791
285	24.13894569
286	24.08432391
287	24.07223362
288	24.05287314
289	24.03752748
290	24.01630836
291	23.96579298
292	23.94797549
293	23.92273483
294	23.88810342
295	23.85779016
296	23.82800886
297	23.79830114
298	23.76877864
299	23.755484
300	23.72430621
301	23.70303955
302	23.67347202
303	23.62947173
304	23.58934486
305	23.56967995
306	23.54695998
307	23.52541523
308	23.50354987
309	23.49473577
310	23.49092463
311	23.48311166
312	23.45099773
313	23.43488191
314	23.40783365
315	23.39581621
316	23.36639689
317	23.34549664
318	23.31185462
319	23.28517102
320	23.26651741
321	23.25052668
322	23.22695575
323	23.20250298
324	23.18336081
325	23.16358579
326	23.12811831
327	23.10335397
328	23.07121594
329	23.04768835
330	23.01389819
331	22.99855031
332	22.96152243
333	22.93180034
334	22.90204331
335	22.88175676
336	22.86351644
337	22.83786689
338	22.80833922
339	22.79360558
340	22.76529034
341	22.7430287
342	22.72411307
343	22.70824389
344	22.69537945
345	22.67711266
346	22.66695226
347	22.64544404
348	22.61549983
349	22.59271995
350	22.58391016
351	22.58310454
352	22.5550474
353	22.53532663
354	22.52453456
355	22.50418311
356	22.50336373
357	22.48107862
358	22.46097104
359	22.44184078
360	22.4131283
361	22.38814031
362	22.3647008
363	22.33691963
364	22.31068258
365	22.28681441
366	22.26707232
367	22.25309567
368	22.23720233
369	22.21449949
370	22.19640885
371	22.17211052
372	22.1564251
373	22.1375236
374	22.11721007
375	22.09657518
376	22.06719733
377	22.06309017
378	22.04851817
379	22.03028703
380	22.01022501
381	21.98412968
382	21.96863379
383	21.95101004
384	21.93448414
385	21.91181536
386	21.89049309
387	21.86396227
388	21.84612084
389	21.82514892
390	21.80520993
391	21.78831662
392	21.76999981
393	21.74948094
394	21.73446383
395	21.71174086
396	21.69042335
397	21.67701958
398	21.66437213
399	21.65032687
400	21.63322928
401	21.60209835
402	21.58046894
403	21.5662475
404	21.54060031
405	21.52208747
406	21.50760942
407	21.48893389
408	21.4705964
409	21.45058638
410	21.4377561
411	21.42063979
412	21.4011044
413	21.37878362
414	21.36325479
415	21.34638787
416	21.32866136
417	21.3137209
418	21.29532639
419	21.28007289
420	21.25781292
421	21.23866104
422	21.22402645
423	21.20874656
424	21.19315443
425	21.17638727
426	21.15637468
427	21.1424344
428	21.12454779
429	21.1130477
430	21.08948707
431	21.07297741
432	21.05054622
433	21.03348279
434	21.01479848
435	20.99765185
436	20.97751423
437	20.96094825
438	20.94742618
439	20.92761592
440	20.91082463
441	20.88721821
442	20.87027142
443	20.85204301
444	20.83327272
445	20.81461645
446	20.80491585
447	20.78754192
448	20.77361941
449	20.75654459
450	20.73740802
451	20.72117812
452	20.69998914
453	20.68074114
454	20.66773233
455	20.65456387
456	20.64098277
457	20.62620508
458	20.61510032
459	20.5996498
460	20.58745702
461	20.56867328
462	20.54735643
463	20.52840047
464	20.508821
465	20.49363213
466	20.48001846
467	20.46393851
468	20.45166928
469	20.43225956
470	20.42064755
471	20.4065052
472	20.3901009
473	20.37870644
474	20.3602105
475	20.33666536
476	20.32311076
477	20.30375302
478	20.2896697
479	20.2615761
480	20.24592552
481	20.23383644
482	20.21177781
483	20.20034578
484	20.18687044
485	20.1714142
486	20.15356899
487	20.13610834
488	20.12185404
489	20.10916608
490	20.09298014
491	20.08491597
492	20.0686729
493	20.0509161
494	20.03706195
495	20.01124473
496	19.998781
497	19.97741579
498	19.96170151
499	19.94912986
500	19.92745251
501	19.9102115
502	19.89554069
503	19.88236144
504	19.87096987
505	19.85857436
506	19.84788196
507	19.82663535
508	19.8185115
509	19.80994318
