iter	Passed	Remaining
0	159	111762
1	170	59480
2	177	41342
3	182	31764
4	187	26012
5	190	22072
6	195	19313
7	199	17214
8	203	15615
9	207	14303
10	211	13243
11	215	12335
12	219	11585
13	223	10933
14	226	10324
15	229	9822
16	234	9405
17	237	9010
18	242	8679
19	245	8356
20	249	8082
21	253	7817
22	257	7592
23	261	7370
24	265	7178
25	269	6986
26	273	6817
27	277	6652
28	281	6514
29	285	6371
30	289	6246
31	293	6121
32	297	6009
33	300	5894
34	305	5807
35	309	5716
36	313	5622
37	318	5554
38	323	5487
39	328	5422
40	333	5362
41	338	5302
42	342	5235
43	346	5168
44	351	5113
45	355	5059
46	360	5003
47	364	4946
48	370	4921
49	375	4875
50	379	4826
51	383	4782
52	387	4735
53	391	4688
54	395	4639
55	402	4628
56	406	4588
57	410	4545
58	414	4506
59	418	4468
60	423	4433
61	427	4395
62	432	4370
63	436	4332
64	440	4304
65	445	4282
66	451	4264
67	455	4236
68	459	4206
69	465	4185
70	469	4159
71	474	4135
72	478	4106
73	483	4086
74	488	4070
75	492	4042
76	497	4025
77	501	3998
78	505	3976
79	510	3953
80	514	3932
81	519	3913
82	523	3888
83	527	3870
84	531	3847
85	536	3827
86	539	3804
87	544	3788
88	549	3770
89	553	3751
90	557	3732
91	562	3716
92	566	3700
93	570	3680
94	575	3665
95	580	3649
96	584	3633
97	588	3615
98	592	3599
99	597	3582
100	601	3566
101	605	3552
102	610	3537
103	614	3520
104	618	3505
105	623	3492
106	627	3478
107	632	3464
108	636	3448
109	640	3437
110	644	3421
111	649	3409
112	653	3394
113	658	3384
114	662	3370
115	666	3357
116	671	3346
117	675	3332
118	679	3319
119	684	3306
120	690	3302
121	694	3288
122	698	3276
123	702	3264
124	707	3252
125	711	3242
126	715	3228
127	721	3222
128	725	3209
129	729	3199
130	734	3189
131	738	3178
132	742	3167
133	746	3154
134	751	3146
135	755	3133
136	760	3124
137	764	3112
138	768	3102
139	773	3092
140	777	3081
141	781	3071
142	785	3061
143	790	3053
144	794	3042
145	801	3040
146	805	3031
147	809	3020
148	814	3010
149	819	3003
150	824	2996
151	828	2987
152	833	2980
153	837	2969
154	842	2961
155	846	2953
156	851	2944
157	855	2934
158	859	2924
159	864	2917
160	868	2908
161	872	2899
162	877	2890
163	881	2882
164	885	2872
165	890	2863
166	894	2855
167	899	2848
168	903	2838
169	907	2829
170	912	2822
171	916	2812
