ride_id,platform,pickup_location,destination,distance_km,estimated_duration_min,vehicle_type,fare_price,base_fare,surge_multiplier,estimated_arrival_min,driver_rating,available_coupon,coupon_discount,cashback,demand_level,weather_condition,traffic_level,day_of_week,hour_of_day,festival_indicator,timestamp
RIDE000001,Ola,Jubilee Hills,Kukatpally,8.51,18,Sedan,288.94,80.57,1.33,7,4.3,0,0.0,0.0,Medium,Sunny,Low,Saturday,19,0,2026-05-30 19:26:25
RIDE000002,Rapido,Shankarpally,Himayatnagar,44.31,87,Bike,334.59,13.95,1.39,8,4.5,0,0.0,0.0,Medium,Sunny,Low,Monday,19,0,2026-07-27 19:42:21
RIDE000003,Ola,Kukatpally,Malakpet,23.04,64,Sedan,596.35,79.67,1.2,5,4.4,0,0.0,11.3,Medium,Cloudy,Medium,Tuesday,18,0,2026-07-21 18:26:09
RIDE000004,Ola,Kapra,Alwal,7.55,22,Bike,81.29,19.27,1.28,7,4.6,0,0.0,0.0,Medium,Sunny,Medium,Wednesday,18,0,2026-07-01 18:39:28
RIDE000005,Rapido,Banjara Hills,Malakpet,9.99,47,Bike,132.51,14.68,1.69,10,4.1,1,14.29,0.0,High,Sunny,High,Friday,19,0,2026-07-31 19:39:24
RIDE000006,Uber,Yousufguda,LB Nagar,23.19,65,Sedan,803.51,72.65,1.59,7,4.6,0,0.0,0.0,High,Sunny,Medium,Thursday,21,0,2026-02-05 21:29:41
RIDE000007,Uber,Kapra,Shamshabad Airport,40.57,109,Mini,828.21,53.72,1.39,6,4.1,0,0.0,0.0,Medium,Sunny,Medium,Thursday,17,0,2026-02-26 17:35:05
RIDE000008,Ola,Madinaguda,Banjara Hills,16.35,30,Auto,283.08,33.96,1.12,1,4.4,0,0.0,0.0,Low,Sunny,Low,Sunday,7,0,2026-02-08 07:16:29
RIDE000009,Rapido,KPHB Colony,Yousufguda,12.25,58,Bike,128.72,15.09,1.26,7,4.4,0,0.0,0.0,Medium,Cloudy,High,Monday,19,0,2026-07-20 19:46:19
RIDE000010,Rapido,Shankarpally,Ameerpet,40.32,113,Bike,278.34,17.62,1.25,9,4.5,1,62.4,0.0,Medium,Sunny,Medium,Saturday,21,0,2026-02-07 21:05:44
RIDE000011,Rapido,Rajendranagar,Attapur,7.56,21,Auto,169.23,25.81,1.34,8,4.2,1,16.09,0.0,Medium,Cloudy,Medium,Monday,8,0,2026-03-23 08:18:59
RIDE000012,Ola,Punjagutta,Malakpet,9.81,16,Mini,172.07,46.29,1.0,1,4.5,0,0.0,0.0,Low,Sunny,Low,Friday,12,0,2026-02-27 12:58:18
RIDE000013,Rapido,KPHB Colony,Nanakramguda,13.32,21,Auto,193.94,22.48,1.04,7,5.0,1,44.41,0.0,Low,Sunny,Low,Monday,1,0,2026-06-01 01:06:17
RIDE000014,Uber,Kompally,Madinaguda,20.49,56,Sedan,572.71,79.78,1.21,7,4.6,0,0.0,0.0,Medium,Sunny,Medium,Friday,20,0,2026-05-08 20:19:18
