iter	Passed	Remaining
0	150	105193
1	157	55099
2	164	38325
3	173	30213
4	181	25201
5	189	21926
6	200	19844
7	207	17923
8	214	16455
9	220	15244
10	227	14238
11	235	13475
12	241	12765
13	249	12234
14	257	11760
15	267	11422
16	275	11066
17	284	10790
18	295	10587
19	303	10307
20	313	10141
21	321	9902
22	329	9692
23	335	9453
24	343	9269
25	349	9064
26	355	8872
27	364	8748
28	370	8579
29	379	8470
30	385	8323
31	395	8249
32	402	8132
33	409	8027
34	417	7930
35	424	7833
36	431	7724
37	438	7636
38	444	7540
39	451	7445
40	460	7397
41	467	7322
42	474	7253
43	480	7171
44	488	7112
45	494	7037
46	502	6975
47	508	6908
48	514	6840
49	523	6810
50	530	6746
51	538	6704
52	544	6652
53	552	6606
54	561	6581
55	569	6547
56	576	6501
57	583	6456
58	589	6407
59	596	6358
60	603	6322
61	610	6282
62	613	6204
63	620	6168
64	627	6126
65	635	6101
66	641	6062
67	649	6033
68	655	5996
69	662	5962
70	669	5932
71	676	5899
72	684	5876
73	690	5843
74	699	5825
75	705	5793
76	713	5771
77	719	5741
78	727	5716
79	734	5693
80	741	5664
81	749	5646
82	755	5617
83	763	5601
84	770	5573
85	778	5556
86	785	5531
87	791	5507
88	799	5491
89	807	5470
90	816	5463
91	823	5439
92	831	5429
93	838	5405
94	846	5392
95	853	5369
96	862	5360
97	868	5337
98	876	5322
99	883	5299
100	890	5283
101	897	5263
102	904	5243
103	912	5227
104	918	5207
105	926	5194
106	933	5173
107	941	5159
108	947	5139
109	955	5126
110	962	5109
111	969	5089
112	978	5080
113	984	5060
114	992	5049
115	999	5031
116	1007	5018
117	1013	5000
118	1021	4988
119	1028	4969
120	1035	4953
121	1041	4935
122	1048	4917
123	1055	4905
124	1062	4887
125	1070	4875
126	1076	4858
127	1084	4845
128	1090	4828
129	1097	4811
130	1106	4807
131	1113	4790
132	1121	4780
133	1128	4764
134	1136	4755
135	1142	4738
136	1150	4727
137	1159	4720
138	1169	4720
139	1177	4710
140	1185	4701
141	1192	4685
142	1202	4685
143	1216	4695
144	1224	4686
145	1235	4686
146	1242	4675
147	1254	4680
148	1265	4678
149	1272	4667
150	1283	4668
151	1291	4657
152	1301	4651
153	1318	4673
154	1328	4670
155	1336	4660
156	1345	4652
157	1352	4640
158	1362	4636
159	1370	4623
160	1378	4615
161	1385	4601
162	1393	4591
163	1400	4577
164	1408	4567
165	1416	4556
166	1424	4546
167	1431	4533
168	1438	4521
169	1447	4511
170	1453	4497
171	1462	4488
172	1468	4473
173	1476	4462
174	1482	4448
175	1490	4438
176	1497	4423
177	1503	4409
178	1511	4400
179	1518	4385
180	1525	4374
181	1532	4360
182	1539	4349
183	1546	4337
184	1553	4324
185	1560	4311
186	1566	4297
187	1574	4287
188	1580	4273
189	1587	4262
190	1594	4248
191	1601	4236
192	1608	4224
193	1614	4211
194	1657	4292
195	1665	4281
196	1682	4294
197	1690	4284
198	1696	4271
199	1704	4261
200	1710	4247
201	1718	4237
202	1725	4223
203	1731	4210
204	1738	4198
205	1745	4185
206	1752	4174
207	1759	4161
208	1769	4156
209	1777	4147
210	1785	4138
211	1792	4125
212	1800	4115
213	1807	4103
214	1814	4093
215	1821	4080
216	1827	4068
217	1835	4058
218	1841	4045
219	1849	4034
220	1855	4022
221	1863	4011
222	1869	3999
223	1876	3986
224	1883	3976
225	1889	3963
226	1897	3953
227	1903	3941
228	1911	3931
229	1918	3920
230	1925	3908
231	1932	3899
232	1939	3887
233	1947	3877
234	1953	3865
235	1960	3855
236	1967	3843
237	1974	3831
238	1981	3821
239	1987	3809
240	1994	3798
241	2000	3786
242	2008	3776
243	2015	3766
244	2023	3758
245	2031	3748
246	2039	3739
247	2047	3731
248	2054	3720
249	2062	3712
250	2069	3701
251	2078	3694
252	2087	3688
253	2096	3680
254	2106	3676
255	2113	3665
256	2123	3660
257	2130	3649
258	2138	3641
259	2145	3630
260	2153	3622
261	2161	3613
262	2170	3606
263	2178	3597
264	2186	3589
265	2194	3579
266	2203	3574
267	2212	3567
268	2223	3561
269	2231	3553
270	2240	3546
271	2249	3538
272	2256	3529
273	2263	3519
274	2272	3512
275	2280	3503
276	2288	3495
277	2295	3484
278	2305	3478
279	2313	3469
280	2322	3463
281	2331	3456
282	2339	3447
283	2348	3440
284	2358	3433
285	2369	3430
286	2383	3429
287	2394	3424
288	2408	3424
289	2422	3424
290	2434	3422
291	2447	3419
292	2457	3412
293	2465	3404
294	2474	3397
295	2485	3393
296	2492	3382
297	2500	3372
298	2507	3363
299	2516	3354
300	2523	3345
301	2532	3336
302	2539	3326
303	2547	3318
304	2554	3308
305	2563	3300
306	2570	3290
307	2578	3281
308	2585	3271
309	2593	3262
310	2600	3253
311	2608	3243
312	2615	3234
313	2625	3227
314	2632	3218
315	2641	3210
316	2651	3203
317	2663	3199
318	2681	3202
319	2692	3197
320	2702	3190
321	2711	3182
322	2718	3172
323	2728	3166
324	2735	3156
325	2746	3151
326	2755	3142
327	2763	3134
328	2771	3125
329	2778	3115
330	2786	3106
331	2794	3096
332	2801	3087
333	2812	3081
334	2821	3074
335	2828	3064
336	2837	3056
337	2844	3046
338	2852	3037
339	2859	3027
340	2869	3020
341	2878	3012
342	2886	3004
343	2894	2995
344	2902	2987
345	2910	2977
346	2918	2968
347	2934	2968
348	2947	2964
349	2957	2957
350	2967	2950
351	2977	2943
352	2986	2935
353	2997	2929
354	3009	2924
355	3019	2917
356	3025	2907
357	3033	2898
358	3040	2888
359	3052	2882
360	3059	2872
361	3067	2864
362	3074	2854
363	3083	2845
364	3090	2836
365	3099	2828
366	3105	2818
367	3113	2808
368	3120	2798
369	3128	2790
370	3135	2780
371	3143	2771
372	3150	2762
373	3158	2753
374	3169	2746
375	3181	2741
376	3189	2732
377	3201	2727
378	3215	2723
379	3228	2718
380	3241	2714
381	3251	2706
382	3265	2702
383	3281	2700
384	3293	2694
385	3310	2692
386	3321	2686
387	3329	2677
388	3335	2667
389	3344	2658
390	3351	2648
391	3359	2639
392	3366	2629
393	3374	2620
394	3381	2611
395	3392	2604
396	3400	2595
397	3413	2589
398	3422	2582
399	3430	2573
400	3442	2566
401	3454	2560
402	3462	2551
403	3473	2545
404	3480	2535
405	3490	2527
406	3496	2517
407	3505	2508
408	3512	2498
409	3520	2490
410	3527	2480
411	3536	2471
412	3543	2462
413	3550	2453
414	3558	2443
415	3565	2434
416	3573	2424
417	3579	2415
418	3588	2406
419	3595	2396
420	3603	2387
421	3610	2378
422	3618	2369
423	3624	2359
424	3632	2350
425	3638	2340
426	3647	2331
427	3654	2322
428	3661	2313
429	3670	2304
430	3677	2295
431	3686	2287
432	3695	2278
433	3703	2270
434	3711	2260
435	3718	2251
436	3725	2241
437	3732	2232
438	3739	2223
439	3747	2214
440	3755	2205
441	3763	2196
442	3770	2187
443	3778	2178
444	3786	2169
445	3794	2160
446	3801	2151
