product_id,platform,product_name,brand,category,subcategory,original_price,selling_price,discount_percentage,cashback,coupon_discount,final_price,delivery_days,seller_name,seller_rating,product_rating,review_count,stock_status,exchange_available,emi_available,day_of_week,festival_indicator,timestamp
ITEM000001,Flipkart,Dove Haircare Everyday 75,Dove,Beauty,Haircare,1298.9,1031.59,20.58,0.0,0.0,1031.59,1,PrimeMart Retail,4.2,4.1,24302,In Stock,No,No,Thursday,0,2026-07-09 04:15:11
ITEM000002,Ajio,Fabindia Kurtas Ultra 810,Fabindia,Fashion,Kurtas,1665.33,1365.74,17.99,0.0,0.0,1365.74,1,TechZone India,4.4,3.9,9121,In Stock,No,No,Monday,0,2026-04-13 15:47:27
ITEM000003,Flipkart,Motorola Mobile Prime 707,Motorola,Electronics,Mobile,24669.18,22656.17,8.16,0.0,0.0,22656.17,4,PrimeMart Retail,4.1,3.6,18513,In Stock,No,Yes,Monday,0,2026-05-11 14:17:53
ITEM000004,Amazon,Sony Headphones Premium 779,Sony,Electronics,Headphones,23390.49,18153.36,22.39,0.0,0.0,18153.36,1,Appario Retail,5.0,3.6,50276,In Stock,Yes,Yes,Sunday,0,2026-05-31 19:57:48
ITEM000005,Ajio,Puma T-Shirts Prime 878,Puma,Fashion,T-Shirts,2496.76,2285.03,8.48,0.0,0.0,2285.03,2,OmniTech Sellers,4.5,4.2,26949,In Stock,No,Yes,Tuesday,0,2026-06-30 10:34:56
ITEM000006,Amazon,Levis Jeans Lite 782,Levis,Fashion,Jeans,2639.68,2200.17,16.65,65.77,0.0,2134.4,3,Urban Trade Co,3.9,3.8,9686,In Stock,No,Yes,Wednesday,0,2026-04-15 22:29:52
ITEM000007,Flipkart,Lenovo Laptop Series 378,Lenovo,Electronics,Laptop,157314.0,137020.49,12.9,686.94,0.0,136333.55,1,WS Retail,4.2,4.1,15374,In Stock,No,Yes,Wednesday,0,2026-07-08 02:04:31
ITEM000008,Flipkart,Only Dresses Lite 148,Only,Fashion,Dresses,2710.93,2449.87,9.63,0.0,0.0,2449.87,4,Flipkart Wholesale,3.8,4.2,11292,In Stock,No,No,Saturday,0,2026-07-04 05:11:12
ITEM000009,Flipkart,Levis T-Shirts Edition 746,Levis,Fashion,T-Shirts,1512.4,1462.94,3.27,0.0,0.0,1462.94,4,RetailNet,4.9,4.1,28442,In Stock,No,No,Tuesday,0,2026-03-24 00:13:56
ITEM000010,Ajio,Flying Machine Jeans Essential 209,Flying Machine,Fashion,Jeans,4518.09,4021.55,10.99,0.0,0.0,4021.55,4,Style Hub Sellers,4.5,4.2,2261,In Stock,No,No,Saturday,0,2026-05-30 03:18:11
ITEM000011,Amazon,L'Oreal Haircare 2.0 128,L'Oreal,Beauty,Haircare,1978.89,1868.27,5.59,0.0,0.0,1868.27,17,Style Hub Sellers,4.9,3.7,29153,Out of Stock,No,No,Saturday,0,2026-03-21 15:00:14
ITEM000012,Ajio,Nykaa Makeup Ultra 675,Nykaa,Beauty,Makeup,1219.36,1154.49,5.32,0.0,0.0,1154.49,18,OmniTech Sellers,3.5,4.0,39030,Out of Stock,No,No,Thursday,0,2026-02-05 19:00:23
ITEM000013,Ajio,Casio Watches Essential 764,Casio,Fashion,Watches,6549.49,5047.69,22.93,0.0,0.0,5047.69,1,Cloudtail India,4.2,4.2,21816,In Stock,No,Yes,Monday,0,2026-07-06 02:17:03
ITEM000014,Ajio,Only Dresses Neo 351,Only,Fashion,Dresses,5573.4,3897.48,30.07,0.0,0.0,3897.48,3,Flipkart Wholesale,4.3,3.7,52846,In Stock,No,Yes,Monday,0,2026-03-02 02:21:04
ITEM000015,Flipkart,Fastrack Watches Series 574,Fastrack,Fashion,Watches,5169.48,3992.91,22.76,0.0,0.0,3992.91,2,PrimeMart Retail,3.7,4.4,17384,In Stock,No,No,Friday,0,2026-05-22 21:45:43
ITEM000016,Amazon,Roadster Jackets Ultra 814,Roadster,Fashion,Jackets,2961.51,2022.12,31.72,0.0,0.0,2022.12,2,Ajio Retail,4.3,3.3,40632,In Stock,No,No,Thursday,0,2026-05-28 16:14:21
ITEM000017,Flipkart,Cosco Fitness Equipment Everyday 555,Cosco,Sports,Fitness Equipment,10160.65,7352.25,27.64,0.0,0.0,7352.25,1,Style Hub Sellers,4.5,3.6,35648,In Stock,No,Yes,Wednesday,1,2026-03-25 10:56:46
ITEM000018,Amazon,Mysore Silk Sarees Neo 905,Mysore Silk,Fashion,Sarees,6212.39,4800.31,22.73,0.0,0.0,4800.31,1,RetailNet,3.9,4.1,593,In Stock,No,Yes,Wednesday,0,2026-02-25 06:17:16
ITEM000019,Amazon,Xiaomi Tablet Premium 732,Xiaomi,Electronics,Tablet,83723.92,75058.49,10.35,301.62,530.91,74225.96,4,OmniTech Sellers,4.2,4.7,43086,In Stock,No,Yes,Saturday,0,2026-03-07 23:13:43
