iter	RMSE
0	82.50502527
1	80.2317333
2	78.05138557
3	75.94073341
4	73.99175946
5	72.02554017
6	70.01618688
7	68.15551017
8	66.4104297
9	64.59339208
10	62.80748904
11	61.18427801
12	59.56961549
13	57.94621901
14	56.4063647
15	54.91769456
16	53.4869174
17	52.06578451
18	50.68367858
19	49.34512166
20	48.02978559
21	46.73041496
22	45.48880525
23	44.28809927
24	43.10807106
25	41.96304997
26	40.89015215
27	39.80845822
28	38.7479481
29	37.69100285
30	36.71634827
31	35.83584588
32	34.89751836
33	34.00041339
34	33.12211993
35	32.30425735
36	31.48858469
37	30.6591968
38	29.85004643
39	29.0695898
40	28.33766269
41	27.64589667
42	26.93289386
43	26.22601397
44	25.55172526
45	24.91697971
46	24.30275515
47	23.68145417
48	23.11468198
49	22.53746145
50	21.98812559
51	21.44958664
52	20.91587108
53	20.3901334
54	19.89394773
55	19.41719224
56	18.94243866
57	18.50746689
58	18.03196351
59	17.58922567
60	17.14146501
61	16.72092667
62	16.31238421
63	15.93445011
64	15.56746507
65	15.20769323
66	14.84184919
67	14.49483568
68	14.16150415
69	13.83290341
70	13.51117823
71	13.20472543
72	12.914775
73	12.6316633
74	12.3600413
75	12.09439704
76	11.82757362
77	11.56700275
78	11.29359489
79	11.03740677
80	10.79233386
81	10.55068429
82	10.31656461
83	10.09456238
84	9.87933172
85	9.661699913
86	9.461449964
87	9.27845192
88	9.079504047
89	8.889686365
90	8.710639597
91	8.537258539
92	8.366620027
93	8.211747238
94	8.045631656
95	7.885772182
96	7.73387362
97	7.575274495
98	7.436870673
99	7.293952312
100	7.158903574
101	7.022158466
102	6.897131151
103	6.768883947
104	6.646582234
105	6.520808335
106	6.404877441
107	6.29219554
108	6.188510027
109	6.081183699
110	5.972046155
111	5.877956984
112	5.777950647
113	5.679234723
114	5.587766856
115	5.498046365
116	5.414247945
117	5.336489007
118	5.251637824
119	5.171243654
120	5.096671811
121	5.01834568
122	4.948634227
123	4.88113108
124	4.815628128
125	4.746089856
126	4.679191463
127	4.621448459
128	4.556110259
129	4.497743672
130	4.440431891
131	4.388021654
132	4.334903337
133	4.279206368
134	4.227858276
135	4.178441625
136	4.134552881
137	4.095124428
138	4.056234794
139	4.012836777
140	3.970744263
141	3.924340898
142	3.880794237
143	3.840658172
144	3.802027357
145	3.762451516
146	3.725011882
147	3.687659333
148	3.654308206
149	3.620474883
150	3.587934535
151	3.555909475
152	3.526282011
153	3.496245403
154	3.471298317
155	3.442841153
156	3.414472986
157	3.387723809
158	3.358017151
159	3.331176516
160	3.305836092
161	3.279913036
162	3.258422423
163	3.234697133
164	3.208317277
165	3.184624855
166	3.160860569
167	3.14190254
168	3.124926459
169	3.105047769
170	3.084024023
171	3.064306107
172	3.043642529
173	3.021363088
174	3.004631386
175	2.991766878
176	2.974194869
177	2.956344572
178	2.942328169
179	2.92779254
180	2.909201359
181	2.891883561
182	2.87631413
183	2.861877833
184	2.848092171
185	2.833876384
186	2.821247237
187	2.807778207
188	2.79359757
189	2.779458093
190	2.767280278
191	2.7540342
192	2.743432187
193	2.731237677
194	2.720783118
195	2.706317047
196	2.695758301
197	2.684007898
198	2.672624259
199	2.66125656
200	2.649284254
201	2.636427969
202	2.624426765
203	2.613957832
204	2.604043702
205	2.596188594
206	2.587722498
207	2.577012868
208	2.565251645
209	2.556656116
210	2.545450466
211	2.535659016
212	2.527107067
213	2.517097049
214	2.51064471
215	2.500882589
216	2.49056999
217	2.481379349
218	2.47317408
219	2.463621573
220	2.455641193
221	2.450651194
222	2.441855143
223	2.43400618
224	2.424498717
225	2.415944787
226	2.407788252
227	2.40145506
228	2.395816089
229	2.389158437
230	2.38280824
231	2.373774318
232	2.36709496
233	2.359195708
234	2.351909479
235	2.342932686
236	2.337494446
237	2.332382256
238	2.327458396
239	2.322819979
240	2.31654318
241	2.313503405
242	2.308033855
243	2.301917994
244	2.295346561
245	2.288863834
246	2.281749813
247	2.276656376
248	2.267848928
249	2.260894436
250	2.25542316
251	2.250841853
252	2.244226455
253	2.237806544
254	2.234205816
255	2.227715909
256	2.220279919
257	2.212874675
258	2.206512448
259	2.202170966
260	2.197663311
261	2.190647641
262	2.185550163
263	2.180804777
264	2.175270263
265	2.171217964
266	2.16729512
267	2.162393208
268	2.155986072
269	2.14993061
270	2.145235414
271	2.13952766
272	2.134051645
273	2.130445609
274	2.123508631
275	2.118064059
276	2.114636269
277	2.109051458
278	2.105313509
279	2.098563747
280	2.092342744
281	2.089217715
282	2.085538413
283	2.08134919
284	2.076062629
285	2.070876438
286	2.065358581
287	2.059178624
288	2.054940189
289	2.047708381
290	2.04322454
291	2.038069315
292	2.033872146
293	2.028126646
294	2.025724153
295	2.022638766
296	2.018173026
297	2.012505849
298	2.008683912
299	2.006182644
300	2.002509878
301	1.997161572
302	1.991579096
303	1.988192361
304	1.982652298
305	1.977131427
306	1.972776776
307	1.966468238
308	1.96308039
309	1.958386977
310	1.955651294
311	1.951031628
312	1.94715292
313	1.943397061
314	1.938609616
315	1.935227214
316	1.930664555
317	1.927167785
318	1.924075641
319	1.921698056
320	1.919074236
321	1.915557747
322	1.911179784
323	1.907040755
324	1.905370066
325	1.902402223
326	1.898845422
327	1.89482126
328	1.890449763
329	1.887945029
330	1.886355732
331	1.883570764
332	1.879576907
333	1.875825839
334	1.871278665
335	1.869318777
336	1.866258471
337	1.86323709
338	1.858450631
339	1.854893888
340	1.850312266
341	1.846537414
342	1.843932914
343	1.841211146
344	1.836887025
345	1.832548525
346	1.828042312
347	1.825456332
348	1.821635887
349	1.819175617
350	1.817393076
351	1.814383532
352	1.81099717
353	1.8089068
354	1.806964918
355	1.802963803
356	1.800393648
357	1.796511372
358	1.794268506
359	1.791034123
360	1.787515625
361	1.786135241
362	1.781028898
363	1.77768324
364	1.775141418
365	1.769793454
366	1.765252748
367	1.762833411
368	1.76048787
369	1.756055692
370	1.752882797
371	1.75074749
372	1.747676
373	1.745858972
374	1.742151369
375	1.738496743
376	1.735089203
377	1.731164227
378	1.729421604
379	1.72724937
380	1.724990421
381	1.721662578
382	1.717630348
383	1.714342035
384	1.711464963
385	1.709507251
386	1.705928193
387	1.70269548
388	1.698227602
389	1.69515408
390	1.693390713
391	1.691556435
392	1.690175906
393	1.687189396
394	1.682611062
395	1.679197469
396	1.677077069
397	1.674729927
398	1.673175699
399	1.669045647
400	1.664698439
401	1.661002365
402	1.658602029
403	1.657309976
404	1.654678509
405	1.652438141
406	1.651238071
407	1.649068778
408	1.645108353
