iter	Passed	Remaining
0	162	113570
1	174	61067
2	178	41527
3	184	32131
4	191	26631
5	198	22917
6	204	20242
7	211	18280
8	218	16754
9	225	15561
10	231	14477
11	236	13573
12	243	12891
13	249	12232
14	256	11700
15	261	11196
16	267	10740
17	274	10382
18	279	10020
19	285	9695
20	291	9420
21	296	9143
22	302	8909
23	308	8686
24	313	8473
25	320	8300
26	325	8122
27	331	7953
28	338	7826
29	343	7676
30	349	7550
31	355	7424
32	361	7314
33	368	7218
34	374	7111
35	380	7024
36	387	6943
37	392	6846
38	399	6774
39	406	6701
40	411	6615
41	418	6551
42	423	6474
43	429	6409
44	436	6349
45	441	6282
46	449	6241
47	454	6176
48	460	6113
49	467	6074
50	473	6028
51	480	5990
52	487	5949
53	494	5912
54	504	5912
55	511	5882
56	518	5846
57	520	5760
58	528	5740
59	535	5710
60	541	5670
61	551	5672
62	557	5632
63	565	5619
64	571	5578
65	577	5548
66	583	5509
67	588	5470
68	594	5440
69	600	5403
70	605	5367
71	611	5337
72	613	5271
73	619	5238
74	625	5215
75	631	5184
76	636	5153
77	642	5127
78	648	5096
79	653	5065
80	660	5045
81	665	5017
82	671	4990
83	677	4965
84	682	4939
85	688	4918
86	694	4892
87	699	4866
88	705	4846
89	711	4822
90	717	4804
91	724	4789
92	730	4767
93	737	4756
94	744	4740
95	749	4718
96	757	4706
97	763	4688
98	769	4669
99	775	4650
100	780	4630
101	787	4616
102	793	4598
103	799	4579
104	806	4569
105	812	4552
106	818	4538
107	824	4521
108	830	4503
109	837	4490
110	842	4472
111	848	4454
112	855	4443
113	860	4425
114	867	4413
115	873	4399
116	880	4389
117	888	4380
118	893	4364
119	901	4356
120	906	4339
121	912	4323
122	919	4314
123	925	4298
124	931	4282
125	937	4270
126	942	4254
127	949	4244
128	955	4229
129	961	4214
130	967	4201
131	972	4185
132	979	4174
133	985	4161
134	990	4147
135	997	4137
136	1003	4124
137	1009	4109
138	1016	4101
139	1022	4090
140	1031	4088
141	1037	4078
142	1044	4068
143	1050	4057
144	1056	4043
145	1063	4034
146	1068	4021
147	1074	4007
148	1081	3998
149	1086	3984
150	1093	3975
151	1099	3962
152	1104	3949
153	1111	3940
154	1117	3929
155	1122	3915
156	1129	3907
157	1134	3893
158	1140	3881
159	1147	3872
160	1152	3859
161	1159	3849
162	1164	3837
163	1170	3825
164	1177	3817
165	1183	3806
166	1188	3794
167	1195	3785
168	1201	3773
169	1208	3767
170	1214	3757
171	1219	3744
172	1226	3735
173	1231	3722
174	1236	3710
175	1243	3700
176	1248	3688
177	1254	3677
178	1259	3666
179	1265	3656
180	1276	3659
181	1283	3652
182	1290	3646
183	1296	3635
184	1302	3626
185	1311	3623
186	1316	3612
187	1324	3607
188	1330	3596
189	1337	3589
190	1343	3581
191	1349	3570
192	1357	3566
193	1364	3559
194	1372	3555
195	1379	3547
196	1385	3538
197	1392	3531
198	1398	3520
199	1405	3514
200	1412	3505
201	1419	3499
202	1425	3489
203	1431	3479
204	1439	3474
205	1444	3465
206	1453	3461
207	1460	3455
208	1468	3448
209	1473	3438
210	1479	3427
211	1485	3420
212	1491	3410
213	1497	3401
214	1506	3397
215	1511	3387
216	1518	3379
217	1524	3369
218	1530	3362
219	1536	3352
220	1541	3341
221	1549	3335
222	1554	3325
223	1560	3315
224	1566	3307
225	1572	3297
226	1577	3288
227	1583	3279
228	1589	3269
229	1595	3261
230	1601	3251
231	1606	3241
232	1614	3236
233	1620	3227
234	1626	3218
235	1632	3210
236	1638	3201
237	1645	3194
238	1651	3184
239	1656	3174
240	1662	3166
241	1668	3157
242	1673	3147
243	1679	3139
244	1685	3129
245	1690	3120
246	1697	3112
247	1702	3102
248	1708	3094
249	1714	3086
250	1720	3077
251	1727	3070
252	1732	3060
253	1737	3051
254	1744	3044
255	1750	3035
256	1755	3026
257	1762	3018
258	1767	3009
259	1774	3002
260	1779	2993
261	1785	2984
262	1792	2978
263	1798	2969
264	1803	2961
265	1810	2953
266	1815	2944
267	1822	2937
268	1828	2929
269	1833	2920
270	1840	2913
271	1845	2904
272	1851	2895
273	1859	2891
274	1865	2883
275	1874	2878
276	1879	2870
277	1886	2862
278	1891	2854
279	1897	2846
280	1904	2840
281	1910	2832
282	1916	2823
283	1922	2816
284	1928	2808
285	1935	2801
286	1941	2793
287	1946	2784
288	1953	2778
289	1959	2770
290	1965	2762
291	1971	2755
292	1977	2746
293	1984	2740
294	1989	2731
295	1995	2723
296	2002	2717
297	2008	2709
298	2014	2701
299	2021	2695
300	2027	2687
301	2034	2680
302	2039	2672
303	2045	2664
304	2052	2657
305	2057	2649
306	2063	2641
307	2069	2633
308	2074	2625
309	2081	2618
310	2086	2610
311	2091	2601
312	2099	2595
313	2104	2587
314	2111	2580
315	2117	2573
316	2123	2566
317	2130	2559
318	2135	2551
319	2141	2543
320	2148	2536
321	2154	2528
322	2160	2521
323	2166	2514
324	2172	2506
325	2180	2501
326	2185	2492
327	2190	2484
328	2197	2478
329	2203	2470
330	2210	2464
331	2215	2456
332	2221	2448
333	2228	2441
334	2238	2438
335	2245	2432
336	2250	2424
337	2256	2417
338	2262	2409
339	2268	2401
340	2274	2394
341	2279	2386
342	2285	2378
343	2291	2371
344	2297	2363
345	2302	2355
346	2309	2348
347	2314	2340
348	2319	2333
349	2326	2326
350	2331	2318
351	2337	2311
352	2343	2304
353	2349	2296
354	2355	2289
355	2361	2282
356	2367	2274
357	2373	2267
358	2379	2259
359	2384	2252
360	2390	2245
361	2396	2237
362	2402	2230
363	2408	2223
364	2413	2215
365	2420	2209
366	2426	2201
367	2432	2194
368	2438	2187
369	2443	2179
370	2449	2172
371	2455	2165
372	2461	2157
373	2466	2149
374	2472	2142
375	2477	2135
376	2483	2128
377	2489	2120
378	2495	2113
379	2501	2106
380	2506	2098
381	2512	2091
382	2518	2084
383	2524	2077
384	2529	2069
385	2535	2062
386	2541	2055
387	2546	2047
388	2552	2041
389	2558	2033
390	2564	2026
391	2570	2019
392	2575	2011
393	2581	2005
394	2587	1997
395	2592	1990
396	2598	1983
397	2604	1976
398	2610	1969
399	2617	1963
400	2623	1955
401	2629	1949
402	2635	1942
403	2641	1935
404	2648	1928
405	2653	1921
406	2661	1916
407	2673	1913
408	2682	1908
409	2688	1901
410	2697	1896
411	2703	1889
412	2709	1882
413	2715	1876
414	2721	1868
415	2728	1862
416	2733	1855
417	2739	1848
418	2746	1841
419	2752	1834
420	2758	1827
421	2764	1821
422	2770	1814
423	2777	1807
424	2782	1800
425	2788	1793
426	2795	1787
427	2800	1779
428	2806	1772
429	2812	1766
430	2818	1758
431	2825	1753
432	2831	1746
433	2836	1738
434	2843	1732
435	2849	1725
436	2855	1718
437	2861	1711
438	2867	1704
439	2874	1698
440	2880	1691
441	2885	1684
442	2893	1678
443	2901	1672
444	2910	1667
445	2917	1661
446	2926	1656
447	2933	1649
448	2941	1644
449	2947	1637
450	2956	1632
451	2962	1625
452	2971	1620
453	2978	1613
454	2984	1606
455	2992	1601
456	2998	1594
457	3005	1588
458	3011	1581
459	3017	1574
460	3023	1567
461	3029	1560
462	3035	1553
463	3041	1546
464	3046	1539
465	3053	1533
466	3059	1526
467	3064	1519
468	3070	1512
469	3076	1505
470	3081	1498
471	3087	1491
472	3093	1484
473	3099	1477
474	3105	1470
475	3110	1463
476	3117	1457
477	3123	1450
478	3130	1444
479	3138	1438
480	3146	1432
481	3155	1427
482	3165	1422
483	3172	1415
484	3179	1409
485	3188	1403
486	3193	1396
487	3202	1391
488	3208	1384
489	3217	1379
490	3223	1372
491	3229	1365
492	3236	1358
493	3241	1351
494	3248	1345
495	3253	1338
496	3259	1331
497	3265	1324
498	3271	1317
499	3277	1310
500	3283	1304
501	3289	1297
502	3295	1290
503	3300	1283
504	3306	1276
505	3313	1270
506	3319	1263
507	3325	1256
508	3331	1250
509	3337	1243
510	3343	1236
511	3349	1229
512	3354	1222
513	3361	1216
514	3367	1209
515	3372	1202
516	3380	1196
517	3386	1189
518	3392	1183
519	3399	1176
520	3406	1170
521	3413	1164
522	3419	1157
523	3427	1151
524	3433	1144
525	3439	1137
526	3445	1131
527	3452	1124
528	3458	1118
529	3464	1111
530	3472	1105
531	3479	1098
532	3485	1091
533	3493	1085
534	3499	1079
535	3507	1073
536	3517	1067
537	3525	1061
538	3532	1055
539	3539	1048
540	3546	1042
541	3552	1035
542	3559	1029
543	3564	1022
544	3571	1015
545	3577	1008
546	3582	1002
547	3589	995
548	3594	988
549	3601	982
550	3607	975
551	3612	968
552	3619	962
553	3624	955
554	3630	948
555	3638	942
556	3644	935
557	3651	929
558	3657	922
559	3662	915
560	3669	909
561	3675	902
562	3682	896
563	3688	889
564	3693	882
565	3700	876
566	3706	869
567	3713	862
568	3719	856
569	3725	849
570	3733	843
571	3739	836
572	3746	830
573	3752	823
574	3758	817
575	3765	810
576	3771	804
577	3777	797
578	3784	790
579	3790	784
580	3796	777
581	3803	771
582	3809	764
583	3816	758
584	3822	751
585	3828	744
586	3834	738
587	3840	731
588	3847	725
589	3852	718
590	3858	711
591	3865	705
592	3870	698
593	3876	691
594	3882	685
595	3888	678
596	3894	671
597	3900	665
598	3906	658
599	3912	652
600	3918	645
601	3925	639
602	3931	632
603	3937	625
604	3944	619
605	3950	612
606	3956	606
607	3962	599
608	3968	592
609	3975	586
610	3981	579
611	3986	573
612	3993	566
613	4000	560
614	4007	553
615	4013	547
616	4018	540
617	4026	534
618	4032	527
619	4038	521
620	4044	514
621	4050	507
622	4057	501
623	4062	494
624	4068	488
625	4075	481
626	4080	475
627	4088	468
628	4093	462
629	4099	455
630	4105	448
631	4111	442
632	4118	435
633	4125	429
634	4131	422
635	4138	416
636	4145	409
637	4152	403
638	4159	397
639	4169	390
640	4176	384
641	4183	377
642	4190	371
643	4199	365
644	4207	358
645	4215	352
646	4224	346
647	4232	339
648	4240	333
649	4246	326
650	4254	320
651	4260	313
652	4268	307
653	4275	300
654	4282	294
655	4288	287
656	4293	281
657	4300	274
658	4307	267
659	4314	261
660	4320	254
661	4326	248
662	4332	241
663	4339	235
664	4346	228
665	4353	222
666	4359	215
667	4366	209
668	4372	202
669	4379	196
670	4385	189
671	4390	182
672	4397	176
673	4403	169
674	4408	163
675	4414	156
676	4420	150
677	4426	143
678	4432	137
679	4438	130
680	4445	124
681	4451	117
682	4457	110
683	4463	104
684	4469	97
685	4476	91
686	4483	84
687	4488	78
688	4495	71
689	4501	65
690	4508	58
691	4513	52
692	4519	45
693	4526	39
694	4532	32
695	4538	26
696	4545	19
697	4551	13
698	4558	6
699	4565	0
