interaction_id,user_id,search_category,recommended_platform,chosen_platform,recommended_price,chosen_price,delivery_time,coupon_used,cashback_used,user_clicked_recommendation,booking_completed,savings_amount,user_rating,timestamp
INT000001,USER00310,Food,Swiggy,Swiggy,139.04,139.04,0.4,Yes,No,No,Yes,10.81,5,2026-07-25 19:43:52
INT000002,USER00252,Ride,Uber,Uber,451.96,451.96,0.08,No,No,No,Yes,326.97,5,2026-07-22 16:04:29
INT000003,USER00197,Food,Swiggy,Swiggy,394.88,394.88,0.47,No,No,Yes,Yes,17.43,5,2026-07-26 19:35:52
INT000004,USER00010,Food,Swiggy,Swiggy,530.16,530.16,0.53,No,No,No,Yes,61.42,3,2026-03-29 05:46:40
INT000005,USER01591,Food,Zomato,Zomato,170.52,170.52,0.55,No,No,No,Yes,120.54,4,2026-06-13 12:08:00
INT000006,USER00888,Ride,Rapido,Rapido,250.13,250.13,0.08,Yes,Yes,Yes,Yes,47.05,5,2026-03-06 16:29:54
INT000007,USER01065,Shopping,Amazon,Amazon,7112.59,7112.59,48.0,No,No,Yes,Yes,239.66,5,2026-05-11 00:37:53
INT000008,USER00682,Shopping,Ajio,Ajio,897.8,897.8,120.0,No,No,Yes,Yes,738.99,5,2026-04-29 04:26:41
INT000009,USER00036,Shopping,Amazon,Amazon,6038.35,6038.35,24.0,No,No,No,Yes,4867.4,4,2026-04-12 19:57:17
INT000010,USER00117,Shopping,Amazon,Amazon,1666.74,1666.74,96.0,Yes,Yes,Yes,Yes,2504.42,5,2026-05-08 23:17:13
INT000011,USER00015,Food,Swiggy,Swiggy,100.13,100.13,0.38,No,No,Yes,Yes,0.0,5,2026-03-10 19:20:02
INT000012,USER01672,Shopping,Flipkart,Flipkart,1673.93,1673.93,168.0,No,No,No,Yes,2241.11,4,2026-06-08 11:16:34
INT000013,USER01599,Food,Zomato,Zomato,99.54,99.54,0.47,No,No,Yes,Yes,71.69,5,2026-03-13 05:48:45
INT000014,USER02188,Ride,Ola,Ola,403.79,403.79,0.05,No,No,Yes,No,67.11,4,2026-02-22 10:20:10
INT000015,USER00035,Shopping,Flipkart,Flipkart,1655.81,1655.81,48.0,Yes,No,Yes,Yes,610.93,5,2026-06-29 20:35:35
INT000016,USER02191,Shopping,Flipkart,Flipkart,3785.13,3785.13,24.0,Yes,No,No,Yes,1591.31,4,2026-02-10 18:05:16
INT000017,USER00023,Shopping,Amazon,Amazon,2794.06,2794.06,72.0,No,No,No,Yes,3263.75,4,2026-02-07 09:58:06
INT000018,USER00036,Ride,Rapido,Rapido,134.49,134.49,0.1,No,No,No,Yes,62.38,5,2026-06-13 13:46:27
INT000019,USER00090,Shopping,Amazon,Amazon,24986.1,24986.1,48.0,Yes,No,No,Yes,14178.44,5,2026-05-17 22:48:26
INT000020,USER00855,Shopping,Flipkart,Flipkart,11872.38,11872.38,72.0,No,No,Yes,Yes,7687.9,4,2026-03-14 22:43:57
INT000021,USER01126,Food,Swiggy,Swiggy,209.63,209.63,0.73,No,No,Yes,No,37.36,3,2026-07-25 18:36:51
INT000022,USER00719,Shopping,Amazon,Amazon,24423.4,24423.4,96.0,No,Yes,Yes,Yes,4477.56,5,2026-03-03 16:44:58
